PERIOD,headcount,female_share
2023-01-01,5344,0.4713565963799216
2023-02-01,5399,0.4701644189913172
2023-03-01,5425,0.47073978652926024
2023-04-01,5459,0.46974958874063244
2023-05-01,5473,0.46936542669584247
2023-06-01,5528,0.46738934056007225
2023-07-01,7880,0.47734750696026323
2023-08-01,7823,0.4756736049035883
2023-09-01,7578,0.47568208778173193
2023-10-01,7751,0.4739556472408458
2023-11-01,7800,0.47162075592568864
2023-12-01,7832,0.47186423376291947
2024-01-01,7916,0.47203635904557506
2024-02-01,8003,0.4704119850187266
2024-03-01,8074,0.4712288083158025
2024-04-01,8120,0.46917681801402733
2024-05-01,8127,0.46664209362329523
2024-06-01,8218,0.467671366067088
2024-07-01,8228,0.4652912621359223
2024-08-01,8120,0.46500184524541766
2024-09-01,8183,0.46250457261309597
2024-10-01,8088,0.46429453916481345
2024-11-01,8098,0.4633514313919052
2024-12-01,8111,0.4629127649088221
2025-01-01,8114,0.4629971678364733
2025-02-01,8120,0.46309963099630996
2025-03-01,8128,0.4618123772102161
2025-04-01,8221,0.4617629179331307
2025-05-01,8246,0.46268475890477345
2025-06-01,8339,0.4603041551909951
2025-07-01,8344,0.4584180926169678
2025-08-01,8275,0.45987951807228916
2025-09-01,8239,0.45979929875468506
2025-10-01,8195,0.45961070559610706
2025-11-01,8198,0.4593871595330739
2025-12-01,8185,0.4599171539961014
